"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
005703bb-8da7-4faf-9ddd-4ff2fe36747c,3424b031-e3f4-4192-a06b-5be16cce1cd3,"#N/A","#N/A","#N/A","#N/A","Rohan Weerasinghe joined Citi as General Counsel and Corporate Secretary in June 2012. A member of Citi's Operating Committee, Rohan oversees Citi's global legal team, including business-unit general counsels, regional general counsels and corporate deputy general counsels.",jmanningcongagdo+30@gmail.com,"#N/A","#N/A",Siana,false,"#N/A","#N/A",Lock,"#N/A",Boston,USA,"#N/A","#N/A","#N/A",2215,MA,4 Yawkey Way,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(778) 479-5445,"#N/A","#N/A","#N/A",General Counsel & Coperate Secretary,Prodly,"#N/A","#N/A",false,false
0083bd4c-b2fa-438b-92c3-5cbd4baf62e5,456684a1-fe19-4f5f-a571-6e733cf7903c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+359@gmail.com,"#N/A","#N/A",Priscella,false,"#N/A","#N/A",Phineas,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(276)956-8750,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
00dc4c8b-db42-41e0-a876-487fa9e11cee,8b9afaba-dae4-4a1f-94c0-ca12b0b7ed14,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+670@gmail.com,"#N/A","#N/A",Susi,false,"#N/A","#N/A",Andre,"#N/A",Denver,USA,"#N/A","#N/A","#N/A",80204,CO,1701 Bryant Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(813) 361-2014,"#N/A","#N/A","#N/A","GVP, CAO & General Counsel",Prodly,"#N/A","#N/A",false,false
0190c13b-4c48-4b5a-bec7-05666a4e27b1,1d4cff12-31ba-4d45-b698-ca04cfb7d5ea,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+474@gmail.com,"#N/A","#N/A",Emmey,false,"#N/A","#N/A",Karoly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
01a61327-f640-4f4b-b2e9-118980d9015f,319514d7-cfd9-4922-9004-137af7bd3c87,"#N/A","#N/A",1974-12-27,"#N/A","Meg McCarthy is Executive Vice President, Operations and Technology. She is responsible for information technology, service operations and global security for Aetna. She is a member of Aetna’s Executive Committee, the senior governing body of the company, reporting directly to Aetna's Chairman and CEO Mark T. Bertolini.",jmanningcongagdo+450@gmail.com,"#N/A","#N/A",Melanie,false,"#N/A","#N/A",Baron,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(252) 525-1579,"#N/A","#N/A","#N/A","EVP, Ops and Technology",Prodly,"#N/A","#N/A",false,false
020809ec-75e1-4c4e-a948-c8bcc3cc77d1,48987e17-1d8d-49ba-b872-7140ea05a720,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+158@gmail.com,"#N/A","#N/A",Jada,false,"#N/A","#N/A",Shaughn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(319)461-4461,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
021cf387-91e4-4f81-98ec-33bc9f386c17,78bb7195-822a-4a98-b559-370c79fc31d8,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+261@gmail.com,"#N/A","#N/A",Salomi,false,"#N/A","#N/A",Byrann,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(319)461-4463,"#N/A","#N/A","#N/A",CSO,Prodly,"#N/A","#N/A",false,false
022185ec-ad05-4324-9c09-adcb1b72d7c5,fd1987d9-3f09-4416-b179-e56120cd68ba,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+149@gmail.com,"#N/A","#N/A",Nerta,false,"#N/A","#N/A",Car,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(652) 154-3164,"#N/A","#N/A","#N/A",Contract Manager,Prodly,"#N/A","#N/A",false,false
025ea54b-a791-4610-8fb4-bcc632af7dc3,75d2a4c2-0f6e-445d-a242-b8be7471cd17,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+848@gmail.com,"#N/A","#N/A",Gilbertine,false,"#N/A","#N/A",Salmon,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3293,"#N/A","#N/A",(03) 5338 4057,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
037568ad-3b52-4c68-a970-c48d8fa230df,a8e1ad77-8543-4778-ba90-f25e181bc963,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+771@gmail.com,"#N/A","#N/A",Susana,false,"#N/A","#N/A",Berti,"#N/A",New York,USA,"#N/A","#N/A","#N/A","#N/A",NY,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(251) 141-3114,"#N/A","#N/A","#N/A",Chief Legal Officer,Prodly,"#N/A","#N/A",false,false
040f07f5-e26c-4087-807b-03a7082a2d3c,c8b95580-c2e7-4a16-9529-745c84544184,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+798@gmail.com,"#N/A","#N/A",Erminia,false,"#N/A","#N/A",Lucian,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,32 Railway Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4034,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
04331085-e751-421f-888f-2354bcb307d9,d84cbaef-dd3c-442b-a92a-27c521ff3a42,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+116@gmail.com,"#N/A","#N/A",Bridget,false,"#N/A","#N/A",Curran,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",83 6365 8742,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0438fe58-56ea-4350-acf3-7fb8a74466b9,04732900-5bfa-4d70-979b-792e4e441d6f,"#N/A","#N/A","#N/A","#N/A","Rick Damron was promoted to chief operating officer in 2012. He is responsible for delivering the customer experience, including oversight of store operations, sales and service fulfillment, product fulfillment, real estate and facilities, and loss prevention and safety.",jmanningcongagdo+727@gmail.com,"#N/A","#N/A",Monika,false,"#N/A","#N/A",Rubin,"#N/A",Houston,USA,"#N/A","#N/A","#N/A",77504,TX,Reliant Parkway,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(297) 413-1450,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
047bc75b-bf7f-419d-963a-e58aa605f33b,753338b7-91c6-4b08-b61a-92d9cb6aab6a,"#N/A","#N/A","#N/A","#N/A","Mr. Donald H. Layton, also known as Don, ACIS, LLBm has been the Chief Executive Officer at Federal Home Loan Mortgage Corporation since May 21, 2012. Mr. Layton has been a Senior Advisor of NewOak Capital LLC since March 2010. He has over 35 years of experience in financial services and as a corporate leader. Mr. Layton served as the Head of Finance and Risk Management at JPMorgan Chase & Co. since June 2004 and its Head of Technology since July 2003.",jmanningcongagdo+593@gmail.com,"#N/A","#N/A",Kellen,false,"#N/A","#N/A",Rufus,"#N/A",Arlington,USA,"#N/A","#N/A","#N/A",76011,TX,1 AT&T Way,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(864) 301-5588,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
04a13a18-90bb-47f0-a0d6-1512cdd71dff,83924908-60a6-4880-9f3a-08af6317ae58,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+714@gmail.com,"#N/A","#N/A",Lelia,false,"#N/A","#N/A",Brandy,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 4005,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
04c612a1-0db5-408c-a694-1db0fd00d819,cd689f6a-1113-4095-a8c2-80eeef11d1be,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+551@gmail.com,"#N/A","#N/A",Ingeborg,false,"#N/A","#N/A",Farly,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0383 7228120,"#N/A","#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
051f4331-13ad-40bb-8d87-e752b263813b,f79f0263-51b8-4901-82f9-ebeb1636efe1,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+67@gmail.com,"#N/A","#N/A",Jennie,false,"#N/A","#N/A",Gregor,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",077 6365 8742,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
